address,direction,street,crossStreet,intersection,Latitude,Longitude
S CATON AVE & BENSON AVE,N/B,Caton Ave,Benson Ave,Caton Ave & Benson Ave,39.269378,-76.66881853
S CATON AVE & BENSON AVE,S/B,Caton Ave,Benson Ave,Caton Ave & Benson Ave,39.26931579,-76.66896982
WILKENS AVE & PINE HEIGHTS AVE,E/B,Wilkens Ave,Pine Heights,Wilkens Ave & Pine Heights,39.27202523,-76.67696081
THE ALAMEDA & E 33RD ST,S/B,The Alameda,33rd St,The Alameda  & 33rd St,39.32850131,-76.59535457
E 33RD ST & THE ALAMEDA,E/B,E 33rd,The Alameda,E 33rd  & The Alameda,39.32834106,-76.59535946
ERDMAN AVE & N MACON ST,E/B,Erdman,Macon St,Erdman  & Macon St,39.30680457,-76.55931678
ERDMAN AVE & N MACON ST,W/B,Erdman,Macon St,Erdman  & Macon St,39.30696654,-76.55931224
N CHARLES ST & E LAKE AVE,S/B,Charles,Lake Ave,Charles & Lake Ave,39.36905353,-76.62582672
E MADISON ST & N CAROLINE ST,W/B,Madison,Caroline St,Madison  & Caroline St,39.29932577,-76.59767608
ORLEANS ST & N LINWOOD AVE,E/B,Orleans,Linwood Ave,Orleans   & Linwood Ave,39.2958662,-76.57642701
EASTERN AVE & KANE ST,E/B,Eastern,Kane St,Eastern  & Kane St,39.28776266,-76.53710178
EDMONDSON AVE & COOKS LN,E/B,Edmonson,Cooks Lane,Edmonson  & Cooks Lane,39.29236806,-76.70170563
W FRANKLIN ST & N PULASKI ST,W/B,Franklin,Pulaski St,Franklin  & Pulaski St,39.29370826,-76.65038375
ORLEANS ST & N GAY ST,E/B,Orleans,Gay St,Orleans  & Gay St,39.29472031,-76.60612801
S MARTIN LUTHER KING JR BLVD & WASHINGTON BLVD,N/B,MLK Jr. Blvd.,Washington Blvd,MLK Jr. Blvd.  & Washington Blvd,39.28345982,-76.62611388
HILLEN RD & ARGONNE DR,S/B,Hillen Rd,Argonne Drive,Hillen Rd  & Argonne Drive,39.33999076,-76.58802103
W NORTH AVE & N HOWARD ST,W/B,North Ave,Howard St,North Ave  & Howard St,39.31108737,-76.61930714
E PATAPSCO AVE & 4TH ST,W/B,Patapsco  ,4th St,"Patapsco  
 & 4th St",39.23726928,-76.60540393
REISTERSTOWN RD & FALLSTAFF RD,S/B,Reisterstown,Fallstaff Road,Reisterstown   & Fallstaff Road,39.3621351,-76.71024274
PARK HEIGHTS AVE & HAYWARD AVE,N/B,Park Heights,Hayward Ave,Park Heights   & Hayward Ave,39.34992041,-76.67887067
PARK HEIGHTS AVE & HAYWARD AVE,S/B,Park Heights,Hayward Ave,Park Heights   & Hayward Ave,39.34992041,-76.67887067
S MARTIN LUTHER KING JR BLVD & W PRATT ST,S/B,MLK Jr. Blvd ,Pratt St,"MLK Jr. Blvd 
 & Pratt St",39.2860269,-76.62784607
W NORTHERN PKWY & GREENSPRING AVE,E/B,Northern Pkwy,Greenspring Ave,Northern Pkwy   & Greenspring Ave,39.35502432,-76.6604588
W NORTHERN PKWY & GREENSPRING AVE,W/B,Northern Pkwy,Greenspring Ave,Northern Pkwy  & Greenspring Ave,39.35516121,-76.66050588
EDMONDSON AVE & N ATHOL AVE,E/B,Edmonson,Woodbridge Ave,"Edmonson
  & Woodbridge Ave",39.29345254,-76.68939058
EDMONDSON AVE & N ATHOL AVE,W/B,Edmonson ,Woodbridge Ave,"Edmonson 
 & Woodbridge Ave",39.29359258,-76.68939924
FREDERICK AVE & S CATHERINE ST,E/B,Fredrick Ave,Catherine Ave,"Fredrick Ave
 & Catherine Ave",39.28339359,-76.65592899
PARK HEIGHTS AVE & VIOLET AVE,N/B,Park Heights,Voilet Ave,Park Heights  & Voilet Ave,39.33071334,-76.65975021
SINCLAIR LN & MORAVIA RD,W/B,Sinclair,Moravia Road,Sinclair  & Moravia Road,39.32203609,-76.5484526
WILKENS AVE & DESOTO RD,E/B,Wilkens,DeSoto,Wilkens  & DeSoto,39.27490376,-76.66816309
E NORTHERN PKWY & WAVERLY WAY,W/B,Northern Pkwy,Waverly St,Northern Pkwy  & Waverly St,39.36705151,-76.58107399
E COLD SPRING LN & HILLEN RD,W/B,Cold Spring,Hillen Road,Cold Spring  & Hillen Road,39.34590747,-76.58592739
W COLD SPRING LN & ROLAND AVE,E/B,Cold Spring,Roland Ave,"Cold Spring
  & Roland Ave",39.34390606,-76.63542622
E COLD SPRING LN & LOCH RAVEN BLVD,W/B,Cold Spring,Loch Raven Blvd,"Cold Spring
  & Loch Raven Blvd",39.34604524,-76.59200753
TAMARIND RD & W COLD SPRING LN,E/B,Tamarind,Coldspring Lane,"Tamarind
  & Coldspring Lane",39.34389931,-76.65194079
HARFORD RD & THE ALAMEDA,N/B,Harford ,The Alameda,"Harford 
 & The Alameda",39.32120748,-76.59077059
HARFORD RD & ROSALIE AVE,N/B,Harford,Rosalie Ave,"Harford
  & Rosalie Ave",39.36806549,-76.54781839
HARFORD RD & CHRISTOPHER AVE,N/B,Harford ,Christopher Ave,"Harford 
 & Christopher Ave",39.35833265,-76.55624713
SINCLAIR LN & SHANNON DR,E/B,Sinclair,Shannon Drive,"Sinclair
  & Shannon Drive",39.31750281,-76.55567379
SINCLAIR LN & SHANNON DR,W/B,Sinclair ,Shannon Drive,"Sinclair 
 & Shannon Drive",39.31750281,-76.55567379
LIBERTY HTS & HILLSDALE RD,E/B,Liberty Hghts,Hillsdale Ave,"Liberty Hghts
  & Hillsdale Ave",39.33044538,-76.69451003
LIBERTY HTS & HILLSDALE RD,W/B,Liberty Hghts,Hillsdale Ave,"Liberty Hghts
  & Hillsdale Ave",39.33044538,-76.69451003
E NORTHERN PKWY & SPRINGLAKE WAY,W/B,Northern Pkwy,Springlake Way,"Northern Pkwy
  & Springlake Way",39.36431104,-76.61769887
HARFORD RD & WALTHER AVE,S/B,Harford,Walther Ave,Harford  & Walther Ave,39.33530847,-76.57518464
W NORTHERN PKWY & FALLS RD,W/B,Northern Pkwy,Falls Road,Northern Pkwy  & Falls Road,39.36141272,-76.64621992
EDMONDSON AVE & N HILTON ST,E/B,Edmonson,Hilton St,Edmonson  & Hilton St,39.29406134,-76.67276001
N PRESIDENT ST & E FAYETTE ST,S/B,President,Fayette St,President  & Fayette St,39.29062408,-76.60666483
RUSSELL ST & W HAMBURG ST,N/B,Russell ,Hamburg St,"Russell 
 & Hamburg St",39.27978632,-76.62375445
RUSSELL ST & W HAMBURG ST,S/B,Russell,Hamburg St,"Russell
  & Hamburg St",39.27981874,-76.6239106
LIGHT ST & E PRATT ST,S/B,Light SB ,Pratt St,"Light SB 
 & Pratt St",39.28654151,-76.61354939
E LOMBARD ST & S GAY ST,W/B,Lombard ,Gay St,"Lombard 
 & Gay St",39.28776608,-76.6087475
HARFORD RD & E NORTH AVE,N/B,Harford Rd,North Ave,"Harford Rd
  & North Ave",39.31193633,-76.59935797
FORT SMALLWOOD RD & FORT ARMISTEAD RD,S/B,Ft Smallwood,Fort Armstead,"Ft Smallwood
  & Fort Armstead",39.19991302,-76.55597668
GARRISON BLVD & WABASH AVE,E/B,Garrison ,Wabash Ave,"Garrison 
 & Wabash Ave",39.34120906,-76.68311673
WALTHER AVE & GLENMORE AVE,N/B,Walther ,Glenmore,"Walther 
 & Glenmore",39.35354022,-76.54249429
W FRANKLIN ST & CATHEDRAL ST,W/B,Franklin ,Cathedral,"Franklin 
 & Cathedral",39.29506591,-76.61687205
PERRING PKWY & E BELVEDERE AVE,S/B,Perring Pkwy,Belvedere Ave,"Perring Pkwy
  & Belvedere Ave",39.35496275,-76.57572592
GWYNNS FLS & GARRISON BLVD,W/B,Gwynns Falls ,Garrison Blvd,"Gwynns Falls 
  & Garrison Blvd",39.31357929,-76.67622502
REISTERSTOWN RD & DRUID PARK DR,S/B,Reistertown Rd,Druid Lake Drive,"Reistertown Rd
  & Druid Lake Drive",39.3252868,-76.65771098
POTEE ST & TALBOTT ST,S/B,Potee,Talbot,"Potee
  & Talbot",39.23648562,-76.61221065
YORK RD & GITTINGS AVE,S/B,York Rd ,Gitting Ave,"York Rd 
 & Gitting Ave",39.37049296,-76.60981213
WABASH AVE & W BELVEDERE AVE,E/B,Wabash ,Belvedere Ave,"Wabash 
 & Belvedere Ave",39.34167136,-76.68504251
E NORTHERN PKWY & YORK RD,W/B,Northern Pkwy,York Road,"Northern Pkwy
  & York Road",39.3651462,-76.60992203
REISTERSTOWN RD & PATTERSON AVE,E/B,Reistertown ,Patterson Ave,"Reistertown 
  & Patterson Ave",39.35618204,-76.70252096
PULASKI HWY & E MONUMENT ST,E/B,Pulaski Hwy ,Monument St,"Pulaski Hwy 
  & Monument St",39.29979845,-76.55425066
W FRANKLIN ST & N FRANKLINTOWN RD,E/B,Franklin ,Franklintown Road,"Franklin 
  & Franklintown Road",39.29308575,-76.66236249
S HANOVER ST & E CROMWELL ST,S/B,Hanover ,Cromwell St, &,39.26205955,-76.61458728
REISTERSTOWN RD & MENLO DR,N/B,Reisterstown ,Menlo Drive,"Reisterstown 
 & Menlo Drive",39.351985,-76.69637582
RUSSELL ST & BAYARD ST,S/B,Russell ,Bayard St,"Russell 
 & Bayard St",39.27346755,-76.62873851
LIBERTY HEIGHTS AVE & N DUKELAND ST,E/B,Liberty Hghts,Dukeland St,"Liberty Hghts
  & Dukeland St",39.32263937,-76.66663359
S HANOVER & REEDBIRD AVE,N/B,Hanover ,Reedbird Ave,"Hanover 
 & Reedbird Ave",39.24987977,-76.61374944
